event,FI_n,HI_n
214,0.8733338192419826,-0.6411408648018964
215,0.6618439716312059,-0.2058068387827778
216,0.22767295597484372,0.062358048014803505
217,-0.6487217948717946,NA
218,0.00263065483090974,0.059754718044166114
219,0.4698686514886165,-0.29204735209015464
220,0.3836090225563908,-0.1551251476934499
221,0.15470048309178785,0
222,0.5100415923945333,-0.3629477476042231
223,0.3071746575342463,-0.30564121724574467
224,0.08067241379310353,0.03871653787441263
225,-5.423728813538364e-4,-0.26387567804923157
226,0.5712653406686411,-0.47809760176936755
227,0.0010285958173281984,0.509497525202705
228,-0.3817445314609776,0.5240047485766484
229,0.38906354515050207,-0.207845835897374
230,0.10503994360902369,-0.08755015720527674
231,0.44375789688200573,-0.3058173411204705
232,0.5013419293218722,0.09313634433437998
233,-0.0363318112633193,-0.5587125932449077
234,0.2287853035143771,-0.49544669676297837
235,0.7567709497206706,-0.32238073185845034
236,0.621332439078918,-0.4389368654064327
237,0.6479577464788735,0.23005283580085556
238,0.5122389666307853,-0.28929037391794515
239,0.7081569560047561,-0.3133498609022039
240,0.00920187793427163,0.1459721139336017
241,0.6509383033419026,0.23103407431056994
242,0.9411641896673747,0.20691871127431857
243,-0.07309646118721463,-0.43145856785636627
244,0.8972512820512825,-0.08894484295770577
245,-0.12599940334128945,0.02114845926925749
246,-0.5230745684890701,0.3755509404017922
247,-0.4843333333333332,0.09870657198442818
248,0.025161290322580743,0.25256395987777547
249,0.4821990740740743,0.19761954319885455
250,0.8306569343065692,-0.32718887144921605
251,0.1910499174917491,-0.46165877065339306
252,-0.022000000000000033,-0.6835708991921321
253,0.010681133212778797,-0.6258944833991464
254,0.21347587049480765,0.2852076174469402
255,0.6296607041453719,-0.5645088696182726
256,0.3843669527896996,-0.5828071741658438
257,0.553162408759124,-0.3840057749908888
258,0.5343466898954705,-0.06066973048780501
259,-0.497090773809523,0.0977500000000022
260,-0.23826502732240426,0.312168316247025
261,0.1329454454454458,-0.2751032954382315
262,0.4810285714285693,-0.17986297085998593
263,0.23094170403587422,0.00959406827215481
264,0.23903217697335416,-0.40033411699720256
265,-0.14068322981366452,-0.33012905857200947
266,-0.2581449275362326,0.14074997106983475
267,0.860206349206348,0.22870324522626112
