characteristic,cluster1,cluster2,p.adj,conover_stat
p_10260010_1d_total,2,7,0.4455398825088419,0.13710583056132758
p_10260010_1d_total,3,7,0.07486583281027502,-2.205414839994582
p_10260010_1d_total,4,7,0.331869856047281,-0.6666940174291893
p_10260010_1d_total,5,7,0.31354777236373216,0.617606284179811
p_10260010_1d_total,6,7,0.08748878553375344,-1.8436407857798407
p_10270101_1d_total,1,2,0.21295637804265585,-1.3374573585441467
p_10270101_1d_total,1,3,0.11886651162469303,1.7637371832659239
p_10270101_1d_total,2,3,0.02862722275999909,2.670220720858231
p_10270101_1d_total,1,4,0.263170034784649,-1.152012929899004
p_10270101_1d_total,2,4,0.4033859915399581,0.39734726584179325
p_10270101_1d_total,3,4,0.02595003472325559,-2.603745085053752
p_10270101_1d_total,1,5,0.07960839022889864,-2.0121821097741823
p_10270101_1d_total,2,5,0.38780165465294025,-0.5383140216416787
p_10270101_1d_total,3,5,0.01930294942305346,-3.1557272278355524
p_10270101_1d_total,4,5,0.2686226091574066,-1.079952089203843
p_10270101_1d_total,1,6,0.37590169069450163,-0.6737752421872316
p_10270101_1d_total,2,6,0.3831127859373161,0.4961991524233322
p_10270101_1d_total,3,6,0.07329097451391162,-2.123418205842809
p_10270101_1d_total,4,6,0.4368908074661297,0.21218182280465298
p_10270101_1d_total,5,6,0.2788563481318575,0.999543292134759
p_10270101_1d_total,1,7,0.13455771998510946,-1.6399828950752495
p_10270101_1d_total,2,7,0.423869675184583,-0.19224309149237917
p_10270101_1d_total,3,7,0.021549713665132562,-2.9021938443917166
p_10270101_1d_total,4,7,0.3552719429802228,-0.6638345525801085
p_10270101_1d_total,5,7,0.39212802821124826,0.3729505808683633
p_10270101_1d_total,6,7,0.39523956477942995,-0.6925823020206201
p_10250016_1d_total,1,2,0.03292302565376779,-2.9890412552949006
p_10250016_1d_total,1,3,0.3849537110693274,0.4406546645869504
p_10250016_1d_total,2,3,0.041211337074849856,2.541248038680602
p_10250016_1d_total,1,4,0.02327992237909265,-2.876922759437847
p_10250016_1d_total,2,4,0.41088531472606865,0.6019739484772442
p_10250016_1d_total,3,4,0.05522107676433158,-2.3249926009771307
p_10250016_1d_total,1,5,0.054105650932348474,-2.2458571100234477
p_10250016_1d_total,2,5,0.30299751711222334,0.9439646784608838
